year,total,country,players,percentage,latitude,longitude
1930,241,Argentina,22,9.13,-38.416097,-63.616672
1930,241,Belgium,16,6.64,50.503887,4.469936
1930,241,Bolivia,17,7.05,-16.290154,-63.588653
1930,241,Brazil,22,9.13,-14.235004,-51.92528
1930,241,Chile,19,7.88,-35.675147,-71.542969
1930,241,France,19,7.88,46.227638,2.213749
1930,241,Mexico,18,7.47,23.634501,-102.552784
1930,241,Peru,19,7.88,-9.189967,-75.015152
1930,241,Paraguay,22,9.13,-23.442503,-58.443832
1930,241,Romania,15,6.22,45.943161,24.96676
1930,241,United States,16,6.64,37.09024,-95.712891
1930,241,Uruguay,22,9.13,-32.522779,-55.765835
1930,241,Yugoslavia,14,5.81,43.85,18.25
1934,340,Argentina,18,5.29,-38.416097,-63.616672
1934,340,Austria,22,6.47,47.516231,14.550072
1934,340,Belgium,22,6.47,50.503887,4.469936
1934,340,Brazil,18,5.29,-14.235004,-51.92528
1934,340,Czechoslovakia,21,6.18,49.45,17.4
1934,340,Egypt,20,5.88,26.820553,30.802498
1934,340,France,23,6.76,46.227638,2.213749
1934,340,Germany,22,6.47,51.165691,10.451526
1934,340,Hungary,22,6.47,47.162494,19.503304
1934,340,Italy,22,6.47,41.87194,12.56738
1934,340,Netherlands,22,6.47,52.132633,5.291266
1934,340,Romania,22,6.47,45.943161,24.96676
1934,340,Spain,22,6.47,40.463667,-3.74922
1934,340,Sweden,22,6.47,60.128161,15.643501
1934,340,Switzerland,22,6.47,46.818188,8.227512
1934,340,United States,19,5.59,37.09024,-95.712891
1934,340,Uruguay,1,0.29,-32.522779,-55.765835
1938,318,Belgium,22,6.92,50.503887,4.469936
1938,318,Brazil,22,6.92,-14.235004,-51.92528
1938,318,Czechoslovakia,22,6.92,49.45,17.4
1938,318,Cuba,15,4.72,21.521757,-77.781167
1938,318,Dutch East Indies,17,5.35,-0.789275,113.921327
1938,318,France,25,7.86,46.227638,2.213749
1938,318,Germany,22,6.92,51.165691,10.451526
1938,318,Hungary,21,6.6,47.162494,19.503304
1938,318,Italy,22,6.92,41.87194,12.56738
1938,318,Netherlands,22,6.92,52.132633,5.291266
1938,318,Norway,22,6.92,60.472024,8.468946
1938,318,Poland,22,6.92,51.919438,19.145136
1938,318,Romania,22,6.92,45.943161,24.96676
1938,318,Sweden,22,6.92,60.128161,15.643501
1938,318,Switzerland,20,6.29,46.818188,8.227512
1950,281,Bolivia,22,7.83,-16.290154,-63.588653
1950,281,Brazil,22,7.83,-14.235004,-51.92528
1950,281,Chile,21,7.47,-35.675147,-71.542969
1950,281,England,22,7.83,52.561667,-1.464722
1950,281,Italy,22,7.83,41.87194,12.56738
1950,281,Mexico,22,7.83,23.634501,-102.552784
1950,281,Paraguay,22,7.83,-23.442503,-58.443832
1950,281,Spain,22,7.83,40.463667,-3.74922
1950,281,Sweden,22,7.83,60.128161,15.643501
1950,281,Switzerland,22,7.83,46.818188,8.227512
1950,281,United States,18,6.41,37.09024,-95.712891
1950,281,Uruguay,22,7.83,-32.522779,-55.765835
1950,281,Yugoslavia,22,7.83,43.85,18.25
1954,350,Austria,22,6.29,47.516231,14.550072
1954,350,Belgium,22,6.29,50.503887,4.469936
1954,350,Brazil,22,6.29,-14.235004,-51.92528
1954,350,Czechoslovakia,22,6.29,49.45,17.4
1954,350,England,37,10.57,52.561667,-1.464722
1954,350,France,22,6.29,46.227638,2.213749
1954,350,Hungary,22,6.29,47.162494,19.503304
1954,350,Italy,22,6.29,41.87194,12.56738
1954,350,Mexico,22,6.29,23.634501,-102.552784
1954,350,Scotland,15,4.29,56.816722,-4.183889
1954,350,South Korea,20,5.71,35.907757,127.766922
1954,350,Switzerland,22,6.29,46.818188,8.227512
1954,350,Turkey,22,6.29,38.963745,35.243322
1954,350,Uruguay,22,6.29,-32.522779,-55.765835
1954,350,West Germany,22,6.29,50.0956,8.7761
1954,350,Yugoslavia,22,6.29,43.85,18.25
1958,352,Argentina,22,6.25,-38.416097,-63.616672
1958,352,Austria,22,6.25,47.516231,14.550072
1958,352,Brazil,22,6.25,-14.235004,-51.92528
1958,352,Czechoslovakia,22,6.25,49.45,17.4
1958,352,England,58,16.48,52.561667,-1.464722
1958,352,France,21,5.97,46.227638,2.213749
1958,352,Hungary,22,6.25,47.162494,19.503304
1958,352,Italy,6,1.7,41.87194,12.56738
1958,352,Mexico,22,6.25,23.634501,-102.552784
1958,352,Northern Ireland,3,0.85,54.6075,-6.693056
1958,352,Paraguay,22,6.25,-23.442503,-58.443832
1958,352,Scotland,18,5.11,56.816722,-4.183889
1958,352,Soviet Union,22,6.25,61.52401,105.318756
1958,352,Spain,1,0.28,40.463667,-3.74922
1958,352,Sweden,17,4.83,60.128161,15.643501
1958,352,West Germany,22,6.25,50.0956,8.7761
1958,352,Yugoslavia,22,6.25,43.85,18.25
1962,353,Argentina,22,6.23,-38.416097,-63.616672
1962,353,Brazil,22,6.23,-14.235004,-51.92528
1962,353,Bulgaria,22,6.23,42.733883,25.48583
1962,353,Chile,22,6.23,-35.675147,-71.542969
1962,353,Colombia,22,6.23,4.570868,-74.297333
1962,353,Czechoslovakia,22,6.23,49.45,17.4
1962,353,England,21,5.95,52.561667,-1.464722
1962,353,France,2,0.57,46.227638,2.213749
1962,353,Hungary,22,6.23,47.162494,19.503304
1962,353,Italy,26,7.37,41.87194,12.56738
1962,353,Mexico,22,6.23,23.634501,-102.552784
1962,353,Soviet Union,22,6.23,61.52401,105.318756
1962,353,Spain,21,5.95,40.463667,-3.74922
1962,353,Switzerland,19,5.38,46.818188,8.227512
1962,353,Uruguay,23,6.52,-32.522779,-55.765835
1962,353,West Germany,21,5.95,50.0956,8.7761
1962,353,Yugoslavia,22,6.23,43.85,18.25
1966,352,Argentina,22,6.25,-38.416097,-63.616672
1966,352,Brazil,22,6.25,-14.235004,-51.92528
1966,352,Bulgaria,22,6.25,42.733883,25.48583
1966,352,Chile,22,6.25,-35.675147,-71.542969
1966,352,England,22,6.25,52.561667,-1.464722
1966,352,France,20,5.68,46.227638,2.213749
1966,352,Hungary,22,6.25,47.162494,19.503304
1966,352,Italy,29,8.24,41.87194,12.56738
1966,352,Mexico,22,6.25,23.634501,-102.552784
1966,352,North Korea,22,6.25,40.339852,127.510093
1966,352,Portugal,22,6.25,39.399872,-8.224454
1966,352,Soviet Union,22,6.25,61.52401,105.318756
1966,352,Spain,20,5.68,40.463667,-3.74922
1966,352,Switzerland,22,6.25,46.818188,8.227512
1966,352,Uruguay,22,6.25,-32.522779,-55.765835
1966,352,West Germany,19,5.4,50.0956,8.7761
1970,348,Belgium,26,7.47,50.503887,4.469936
1970,348,Brazil,22,6.32,-14.235004,-51.92528
1970,348,Bulgaria,22,6.32,42.733883,25.48583
1970,348,Czechoslovakia,21,6.03,49.45,17.4
1970,348,El Salvador,22,6.32,13.794185,-88.89653
1970,348,England,22,6.32,52.561667,-1.464722
1970,348,Israel,22,6.32,31.046051,34.851612
1970,348,Italy,24,6.9,41.87194,12.56738
1970,348,Mexico,22,6.32,23.634501,-102.552784
1970,348,Morocco,19,5.46,31.791702,-7.09262
1970,348,Peru,22,6.32,-9.189967,-75.015152
1970,348,Romania,22,6.32,45.943161,24.96676
1970,348,Scotland,1,0.29,56.816722,-4.183889
1970,348,Soviet Union,22,6.32,61.52401,105.318756
1970,348,Sweden,16,4.6,60.128161,15.643501
1970,348,Switzerland,1,0.29,46.818188,8.227512
1970,348,Uruguay,22,6.32,-32.522779,-55.765835
1970,348,West Germany,20,5.75,50.0956,8.7761
1974,352,Argentina,17,4.83,-38.416097,-63.616672
1974,352,Australia,22,6.25,-25.274398,133.775136
1974,352,Belgium,2,0.57,50.503887,4.469936
1974,352,Brazil,27,7.67,-14.235004,-51.92528
1974,352,Bulgaria,22,6.25,42.733883,25.48583
1974,352,Chile,16,4.55,-35.675147,-71.542969
1974,352,East Germany,22,6.25,52.3906,13.0645
1974,352,England,12,3.41,52.561667,-1.464722
1974,352,France,3,0.85,46.227638,2.213749
1974,352,Haiti,20,5.68,18.971187,-72.285215
1974,352,Italy,22,6.25,41.87194,12.56738
1974,352,Mexico,4,1.14,23.634501,-102.552784
1974,352,Netherlands,21,5.97,52.132633,5.291266
1974,352,Peru,1,0.28,-9.189967,-75.015152
1974,352,Poland,22,6.25,51.919438,19.145136
1974,352,Portugal,1,0.28,39.399872,-8.224454
1974,352,Scotland,10,2.84,56.816722,-4.183889
1974,352,Spain,7,1.99,40.463667,-3.74922
1974,352,Sweden,16,4.55,60.128161,15.643501
1974,352,Switzerland,1,0.28,46.818188,8.227512
1974,352,Trinidad and Tobago,1,0.28,10.691803,-61.222503
1974,352,Uruguay,16,4.55,-32.522779,-55.765835
1974,352,West Germany,24,6.82,50.0956,8.7761
1974,352,Yugoslavia,21,5.97,43.85,18.25
1974,352,Zaire,22,6.25,-4.038333,21.758664
1978,352,Argentina,20,5.68,-38.416097,-63.616672
1978,352,Austria,17,4.83,47.516231,14.550072
1978,352,Belgium,6,1.7,50.503887,4.469936
1978,352,Brazil,22,6.25,-14.235004,-51.92528
1978,352,England,15,4.26,52.561667,-1.464722
1978,352,France,24,6.82,46.227638,2.213749
1978,352,Hungary,22,6.25,47.162494,19.503304
1978,352,Iran,22,6.25,32.427908,53.688046
1978,352,Italy,22,6.25,41.87194,12.56738
1978,352,Mexico,23,6.53,23.634501,-102.552784
1978,352,Netherlands,17,4.83,52.132633,5.291266
1978,352,Peru,21,5.97,-9.189967,-75.015152
1978,352,Poland,21,5.97,51.919438,19.145136
1978,352,Saudi Arabia,1,0.28,23.885942,45.079162
1978,352,Scotland,7,1.99,56.816722,-4.183889
1978,352,Spain,24,6.82,40.463667,-3.74922
1978,352,Sweden,16,4.55,60.128161,15.643501
1978,352,Switzerland,1,0.28,46.818188,8.227512
1978,352,Tunisia,20,5.68,33.886917,9.537499
1978,352,West Germany,30,8.52,50.0956,8.7761
1982,526,Algeria,15,2.85,28.033886,1.659626
1982,526,Argentina,19,3.61,-38.416097,-63.616672
1982,526,Australia,5,0.95,-25.274398,133.775136
1982,526,Austria,17,3.23,47.516231,14.550072
1982,526,Belgium,27,5.13,50.503887,4.469936
1982,526,Brazil,20,3.8,-14.235004,-51.92528
1982,526,Cameroon,16,3.04,7.369722,12.354722
1982,526,Chile,22,4.18,-35.675147,-71.542969
1982,526,Colombia,3,0.57,4.570868,-74.297333
1982,526,Czechoslovakia,21,3.99,49.45,17.4
1982,526,El Salvador,19,3.61,13.794185,-88.89653
1982,526,England,50,9.51,52.561667,-1.464722
1982,526,France,37,7.03,46.227638,2.213749
1982,526,Honduras,21,3.99,15.199999,-86.241905
1982,526,Hungary,17,3.23,47.162494,19.503304
1982,526,Italy,27,5.13,41.87194,12.56738
1982,526,Ivory Coast,1,0.19,7.539989,-5.54708
1982,526,Kuwait,22,4.18,29.31166,47.481766
1982,526,Mexico,1,0.19,23.634501,-102.552784
1982,526,Northern Ireland,4,0.76,54.6075,-6.693056
1982,526,New Zealand,17,3.23,-40.900557,174.885971
1982,526,Peru,15,2.85,-9.189967,-75.015152
1982,526,Poland,20,3.8,51.919438,19.145136
1982,526,Portugal,1,0.19,39.399872,-8.224454
1982,526,Scotland,10,1.9,56.816722,-4.183889
1982,526,Spain,29,5.51,40.463667,-3.74922
1982,526,Soviet Union,22,4.18,61.52401,105.318756
1982,526,Switzerland,2,0.38,46.818188,8.227512
1982,526,United States,4,0.76,37.09024,-95.712891
1982,526,West Germany,26,4.94,50.0956,8.7761
1982,526,Yugoslavia,16,3.04,43.85,18.25
1986,528,Algeria,11,2.08,28.033886,1.659626
1986,528,Argentina,19,3.6,-38.416097,-63.616672
1986,528,Belgium,26,4.92,50.503887,4.469936
1986,528,Brazil,25,4.73,-14.235004,-51.92528
1986,528,Bulgaria,20,3.79,42.733883,25.48583
1986,528,Canada,2,0.38,56.130366,-106.346771
1986,528,Colombia,6,1.14,4.570868,-74.297333
1986,528,Denmark,7,1.33,56.26392,9.501785
1986,528,England,51,9.66,52.561667,-1.464722
1986,528,France,36,6.82,46.227638,2.213749
1986,528,Greece,2,0.38,39.074208,21.824312
1986,528,Hungary,19,3.6,47.162494,19.503304
1986,528,Iraq,22,4.17,33.223191,43.679291
1986,528,Italy,38,7.2,41.87194,12.56738
1986,528,Mexico,24,4.55,23.634501,-102.552784
1986,528,Morocco,17,3.22,31.791702,-7.09262
1986,528,Netherlands,6,1.14,52.132633,5.291266
1986,528,Northern Ireland,3,0.57,54.6075,-6.693056
1986,528,Paraguay,15,2.84,-23.442503,-58.443832
1986,528,Poland,18,3.41,51.919438,19.145136
1986,528,Portugal,24,4.55,39.399872,-8.224454
1986,528,Scotland,14,2.65,56.816722,-4.183889
1986,528,South Korea,21,3.98,35.907757,127.766922
1986,528,Soviet Union,22,4.17,61.52401,105.318756
1986,528,Spain,28,5.3,40.463667,-3.74922
1986,528,Switzerland,4,0.76,46.818188,8.227512
1986,528,Turkey,1,0.19,38.963745,35.243322
1986,528,United States,10,1.89,37.09024,-95.712891
1986,528,Uruguay,9,1.7,-32.522779,-55.765835
1986,528,West Germany,24,4.55,50.0956,8.7761
1990,530,Argentina,11,2.08,-38.416097,-63.616672
1990,530,Austria,21,3.96,47.516231,14.550072
1990,530,Belgium,23,4.34,50.503887,4.469936
1990,530,Brazil,10,1.89,-14.235004,-51.92528
1990,530,Cameroon,11,2.08,7.369722,12.354722
1990,530,Colombia,21,3.96,4.570868,-74.297333
1990,530,Costa Rica,22,4.15,9.748917,-83.753428
1990,530,Czechoslovakia,14,2.64,49.45,17.4
1990,530,Egypt,20,3.77,26.820553,30.802498
1990,530,England,47,8.87,52.561667,-1.464722
1990,530,France,23,4.34,46.227638,2.213749
1990,530,Greece,1,0.19,39.074208,21.824312
1990,530,Hungary,1,0.19,47.162494,19.503304
1990,530,Italy,53,10,41.87194,12.56738
1990,530,Mexico,2,0.38,23.634501,-102.552784
1990,530,Netherlands,21,3.96,52.132633,5.291266
1990,530,Portugal,10,1.89,39.399872,-8.224454
1990,530,Reunion,1,0.19,-21.115141,55.536384
1990,530,Romania,21,3.96,45.943161,24.96676
1990,530,Scotland,19,3.58,56.816722,-4.183889
1990,530,South Korea,22,4.15,35.907757,127.766922
1990,530,Soviet Union,15,2.83,61.52401,105.318756
1990,530,Spain,35,6.6,40.463667,-3.74922
1990,530,Sweden,11,2.08,60.128161,15.643501
1990,530,Switzerland,4,0.75,46.818188,8.227512
1990,530,United Arab Emirates,22,4.15,23.424076,53.847818
1990,530,United States,18,3.4,37.09024,-95.712891
1990,530,Uruguay,10,1.89,-32.522779,-55.765835
1990,530,West Germany,28,5.28,50.0956,8.7761
1990,530,Yugoslavia,13,2.45,43.85,18.25
1994,528,Argentina,13,2.46,-38.416097,-63.616672
1994,528,Belgium,31,5.87,50.503887,4.469936
1994,528,Bolivia,15,2.84,-16.290154,-63.588653
1994,528,Brazil,12,2.27,-14.235004,-51.92528
1994,528,Bulgaria,9,1.7,42.733883,25.48583
1994,528,Cameroon,11,2.08,7.369722,12.354722
1994,528,Chile,4,0.76,-35.675147,-71.542969
1994,528,Colombia,20,3.79,4.570868,-74.297333
1994,528,Denmark,2,0.38,56.26392,9.501785
1994,528,Egypt,1,0.19,26.820553,30.802498
1994,528,England,38,7.2,52.561667,-1.464722
1994,528,France,23,4.36,46.227638,2.213749
1994,528,Germany,40,7.58,51.165691,10.451526
1994,528,Greece,22,4.17,39.074208,21.824312
1994,528,Hungary,1,0.19,47.162494,19.503304
1994,528,Ivory Coast,1,0.19,7.539989,-5.54708
1994,528,Italy,44,8.33,41.87194,12.56738
1994,528,Japan,3,0.57,36.204824,138.252924
1994,528,Mexico,21,3.98,23.634501,-102.552784
